<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PETR3.SA,D,20070420,000000,53.17,53.17,52.04,52.50,753700,0
PETR3.SA,D,20070423,000000,52.05,53.02,52.05,52.41,983400,0
PETR3.SA,D,20070424,000000,52.40,52.49,51.65,52.10,1042500,0
PETR3.SA,D,20070426,000000,53.30,53.60,52.40,52.40,1165200,0
PETR3.SA,D,20070427,000000,52.10,52.30,51.50,52.00,1175900,0
PETR3.SA,D,20070430,000000,52.00,52.68,51.20,51.20,1416700,0
PETR3.SA,D,20070502,000000,51.99,51.99,51.26,51.50,1563400,0
PETR3.SA,D,20070503,000000,51.72,52.41,51.60,52.41,1245500,0
PETR3.SA,D,20070504,000000,52.35,52.69,51.56,51.80,1863400,0
PETR3.SA,D,20070507,000000,51.79,51.79,50.60,50.70,689100,0
PETR3.SA,D,20070508,000000,50.50,51.37,49.93,50.98,1925100,0
PETR3.SA,D,20070509,000000,51.00,51.30,50.49,51.01,1526300,0
PETR3.SA,D,20070510,000000,51.18,51.20,50.02,50.30,1325200,0
PETR3.SA,D,20070511,000000,50.90,51.69,50.48,51.26,1228100,0
PETR3.SA,D,20070514,000000,50.44,51.64,50.30,50.85,1143700,0
PETR3.SA,D,20070515,000000,51.06,51.50,50.44,50.80,1043800,0
PETR3.SA,D,20070516,000000,51.17,52.15,50.78,52.09,1492500,0
PETR3.SA,D,20070517,000000,52.00,52.70,51.53,52.06,1283100,0
PETR3.SA,D,20070518,000000,52.20,52.80,51.85,52.50,1097300,0
PETR3.SA,D,20070521,000000,52.62,53.44,52.40,52.88,1203200,0
PETR3.SA,D,20070522,000000,52.85,53.12,52.65,52.95,1305500,0
PETR3.SA,D,20070523,000000,53.00,53.75,53.00,53.40,1366800,0
PETR3.SA,D,20070524,000000,53.30,54.11,51.82,52.13,1416900,0
PETR3.SA,D,20070525,000000,52.51,52.86,51.86,52.50,978600,0
PETR3.SA,D,20070528,000000,52.83,53.00,52.30,52.81,572900,0
PETR3.SA,D,20070529,000000,52.80,53.10,51.78,51.78,1352700,0
PETR3.SA,D,20070530,000000,51.30,52.70,50.90,52.70,2027900,0
PETR3.SA,D,20070531,000000,52.94,53.00,51.76,51.76,1234300,0
PETR3.SA,D,20070601,000000,52.50,53.19,52.25,53.19,715600,0
PETR3.SA,D,20070604,000000,52.53,53.90,52.50,53.90,1453700,0
PETR3.SA,D,20070605,000000,53.80,54.67,53.60,54.40,1235000,0
PETR3.SA,D,20070606,000000,54.00,54.00,53.09,53.09,1343200,0
PETR3.SA,D,20070608,000000,52.51,53.99,52.20,53.36,1679300,0
PETR3.SA,D,20070611,000000,53.80,54.63,53.47,54.49,1340300,0
PETR3.SA,D,20070612,000000,54.22,55.10,54.00,54.50,1759300,0
PETR3.SA,D,20070613,000000,54.50,56.00,54.50,55.88,2369700,0
PETR3.SA,D,20070614,000000,55.95,57.00,55.95,56.96,1542700,0
PETR3.SA,D,20070615,000000,57.23,58.27,57.23,57.80,1596700,0
PETR3.SA,D,20070618,000000,58.50,58.50,57.92,58.20,1791000,0
PETR3.SA,D,20070619,000000,57.99,59.23,57.80,58.75,1286200,0
PETR3.SA,D,20070620,000000,58.83,59.23,58.00,58.10,1439600,0
PETR3.SA,D,20070621,000000,58.26,59.13,58.10,58.50,1462700,0
PETR3.SA,D,20070622,000000,58.49,59.00,58.16,58.67,1115000,0
PETR3.SA,D,20070625,000000,59.12,59.25,57.66,58.61,3040800,0
PETR3.SA,D,20070626,000000,58.75,59.10,57.75,58.09,1230200,0
PETR3.SA,D,20070627,000000,57.71,58.71,57.42,58.35,699500,0
PETR3.SA,D,20070628,000000,58.36,59.06,58.00,58.15,1688700,0
PETR3.SA,D,20070629,000000,58.56,59.55,58.15,58.78,1200900,0
PETR3.SA,D,20070702,000000,59.50,60.20,58.72,60.15,958800,0
PETR3.SA,D,20070703,000000,59.80,61.50,59.80,61.40,668400,0
PETR3.SA,D,20070704,000000,61.20,62.09,60.90,61.35,461500,0
PETR3.SA,D,20070705,000000,61.06,62.39,61.00,62.20,1572300,0
PETR3.SA,D,20070706,000000,62.85,62.85,62.14,62.85,1091300,0
PETR3.SA,D,20070710,000000,63.18,63.29,61.30,61.70,2317400,0
PETR3.SA,D,20070711,000000,61.86,62.62,61.24,62.05,991800,0
PETR3.SA,D,20070712,000000,62.70,63.99,62.17,63.70,1309900,0
PETR3.SA,D,20070713,000000,63.28,65.00,63.00,64.33,1157700,0
PETR3.SA,D,20070716,000000,64.49,64.49,63.16,63.70,1318900,0
PETR3.SA,D,20070717,000000,63.60,64.78,63.60,64.39,1200800,0
PETR3.SA,D,20070718,000000,64.30,64.75,64.01,64.62,1009300,0
PETR3.SA,D,20070719,000000,65.00,65.70,65.00,65.35,1048100,0
PETR3.SA,D,20070720,000000,65.40,65.40,64.25,64.74,953600,0
PETR3.SA,D,20070723,000000,64.89,66.20,64.40,66.20,1372500,0
PETR3.SA,D,20070724,000000,65.31,65.60,61.83,62.66,1611100,0
PETR3.SA,D,20070725,000000,63.39,64.36,61.00,63.81,2359000,0
PETR3.SA,D,20070726,000000,62.10,63.00,59.73,61.03,2062700,0
PETR3.SA,D,20070727,000000,61.00,62.68,58.93,58.93,1180500,0
PETR3.SA,D,20070730,000000,60.11,62.47,59.96,61.99,1088300,0
PETR3.SA,D,20070731,000000,62.62,63.79,61.01,61.01,1470300,0
PETR3.SA,D,20070801,000000,60.50,61.28,59.15,60.20,1970400,0
PETR3.SA,D,20070802,000000,60.68,61.50,59.92,60.70,850600,0
PETR3.SA,D,20070803,000000,60.50,61.00,58.12,58.45,1706200,0
PETR3.SA,D,20070806,000000,58.08,59.22,56.70,58.81,1665600,0
PETR3.SA,D,20070807,000000,58.55,60.49,58.11,59.30,2391400,0
PETR3.SA,D,20070808,000000,59.61,61.96,59.61,61.16,1640200,0
PETR3.SA,D,20070809,000000,59.50,60.30,58.80,59.00,1517000,0
PETR3.SA,D,20070810,000000,58.00,59.72,57.60,57.96,2391200,0
PETR3.SA,D,20070813,000000,58.86,59.70,57.61,58.16,1798000,0
PETR3.SA,D,20070814,000000,58.17,59.88,57.61,57.90,1974900,0
PETR3.SA,D,20070815,000000,57.52,59.13,56.00,56.52,2509100,0
PETR3.SA,D,20070816,000000,54.89,55.71,51.80,55.70,4378200,0
PETR3.SA,D,20070817,000000,56.70,57.01,53.49,54.26,3820400,0
PETR3.SA,D,20070820,000000,54.90,55.43,53.49,54.40,2314800,0
PETR3.SA,D,20070821,000000,54.50,55.05,53.72,54.52,1385300,0
PETR3.SA,D,20070822,000000,55.50,57.69,55.20,56.96,2716400,0
PETR3.SA,D,20070823,000000,57.00,58.40,56.30,57.35,2088300,0
PETR3.SA,D,20070824,000000,57.20,58.18,56.56,58.14,1774600,0
PETR3.SA,D,20070827,000000,57.90,58.58,57.21,58.00,1075800,0
